menu_import
Название,Категория,Цена,Цех,Тип,Фото
Аляска 8 шт,Роллы,100000,Sushi-XL,Без модификаций,https://cdn-kz3.foodpicasso.com/assets/97/d5/62/b9/97d562b939ad54c106874da339412f9d---jpeg_1000x_103c0_convert.jpeg
Бонито 4шт острый,Роллы,60000,Sushi-XL,Без модификаций,https://static.insales-cdn.com/images/products/1/4473/529617273/large_roll-avtorskiy-tunets-bonito-4sht1.jpg
Бонито 8шт острый,Роллы,110000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRMNDjoSSAN4iFg0LhU60pqWDr6LpcvzpLt3Q&s
Гохан 4шт,Роллы,47000,Sushi-XL,Без модификаций,https://mybox-menu.storage.yandexcloud.net/productDetail/58474068-63B0-4C8F-A5CB-52BAB23AA2CB?AWSAccessKeyId=nBfHjt3yHLl_tqKfFNBy&Expires=2376648173&Signature=PRh6ecE1rIkxV8iYJIkzel9P%2B1Y%3D
Гохан 8шт,Роллы,80000,Sushi-XL,Без модификаций,https://mybox-menu.storage.yandexcloud.net/productDetail/58474068-63B0-4C8F-A5CB-52BAB23AA2CB?AWSAccessKeyId=nBfHjt3yHLl_tqKfFNBy&Expires=2376648173&Signature=PRh6ecE1rIkxV8iYJIkzel9P%2B1Y%3D
Дракон 4шт,Роллы,65000,Sushi-XL,Без модификаций,https://avatars.mds.yandex.net/i?id=79ae2a544c8958701ec4d1045c1886e2fabbeb28-10555004-images-thumbs&n=13
Дракон 8шт,Роллы,115000,Sushi-XL,Без модификаций,https://avatars.mds.yandex.net/i?id=79ae2a544c8958701ec4d1045c1886e2fabbeb28-10555004-images-thumbs&n=13
Калифорния краб 4шт,Роллы,88000,Sushi-XL,Без модификаций,https://cdn.sanity.io/images/ksk2u955/production/0f5ca89c5a95f399b4259e013c6b2542e35c4cc5-1900x1900.jpg
Калифорния краб 8шт,Роллы,150000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJtBmoDnIqfvG35DK21936nor3FUp52zD5FA&s
Калифорния креветка 4шт,Роллы,110000,Sushi-XL,Без модификаций,https://dostavka.happy.bg/remote/files/images/32632/fit_640_400.png?rev=1660664935
Калифорния креветка 8шт,Роллы,199000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcJRlc1gtiAwDEc3aYrLvNiTrFMMKPnvrVkg&s
Калифорния кунжут 4шт,Роллы,70000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1t_rmPgHbXL-tl4c_jNuLRwcfVfw_c3fg4g&s
Калифорния кунжут 8шт,Роллы,130000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQxdF_-1UeOjRfptvf07XFRv1LlXmGhtLoltw&s
Калифорния лосось 4шт,Роллы,100000,Sushi-XL,Без модификаций,https://sushilove.su/wp-content/uploads/2024/11/%D0%A4%D0%B8%D0%BB%D0%B0%D0%B4%D0%B5%D0%BB%D1%8C%D1%84%D0%B8%D1%8F-%D1%81-%D1%83%D0%B3%D1%80%D1%91%D0%BC-600x385.webp
Калифорния лосось 8шт,Роллы,199000,Sushi-XL,Без модификаций,https://sushilove.su/wp-content/uploads/2024/11/%D0%A4%D0%B8%D0%BB%D0%B0%D0%B4%D0%B5%D0%BB%D1%8C%D1%84%D0%B8%D1%8F-%D1%81-%D1%83%D0%B3%D1%80%D1%91%D0%BC-600x385.webp
Суши копченный лосось,Суши,99000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5SDuGRjZ7QYleesNWEPihOE0n9Z75g3ejnw&s
Суши Лосось,Суши,75000,Sushi-XL,Без модификаций,https://thekitchen.uz/product/105-sushi-so-slabosolennym-lososem
Суши Креветка,Суши,80000,Sushi-XL,Без модификаций,https://jumanji.uz/images/product/309.jpg?1720772803
Суши Угорь,Суши,115000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0ULWSnOed3fa13oiFByvPnXA4HbCMcL7oeA&s
Перец жаренный 150гр,Салаты,35000,Sushi-XL,Без модификаций,https://img.delo-vcusa.ru/2019/08/Zharenyy-sladkiy-perets-s-tomatnym-sousom-.jpg
Салат Овощница,Салаты,55000,Sushi-XL,Без модификаций,https://www.russianfood.com/dycontent/images_upl/345/big_344904.jpg
Салат Цезарь курица,Салаты,65000,Sushi-XL,Без модификаций,https://www.ermolino-produkty.ru/recipes/picts/recipes/tnw1000-670%D1%85430_salat-cezar-s-kuricey.jpg
Салат Крабовый,Салаты,70000,Sushi-XL,Без модификаций,https://images.gastronom.ru/WDdNs6cApNrBxZrlM8GgdXlv10ImYbmMmYAiB2MC0Cw/pr:recipe-cover-image/g:ce/rs:auto:0:0:0/L2Ntcy9hbGwtaW1hZ2VzLzZiMjRhNjU2LWYwYjktNDJhMS1hODg1LWQyMmVmYzdiNmM4Yy5qcGc.webp
Салат Цезарь креветка,Салаты,59000,Sushi-XL,Без модификаций,https://lh6.googleusercontent.com/proxy/ZorTBpJoBzo01elqQFHPmP7x-qIukQHAKxL0XrK-rMLhkv3tfHNTIqp0fmEzhWrFx1NjLQfMX1hy-HAoYB27jJKzkJj2jXgpeXv3-MlSMLLyiK0GIjU9cZTX4qYZ3A
Салат Чука,Салаты,90000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSss7dQXmelHDSna0eS7QhSg4vtaeFHFoTDIQ&s
Комбо 1 (13шт) +1шт coca-cola 0.5l,Сеты,45000,Sushi-XL,Без модификаций,https://imageproxy.wolt.com/menu/menu-images/67bc499c271537bdd42f44e6/1dd0a066-a80c-11f0-a379-9674c16bbd1c_product_1685459604_157.jpeg
Комбо 2 (29шт) +1шт coca-cola 1l,Сеты,50000,Sushi-XL,Без модификаций,https://imageproxy.wolt.com/menu/menu-images/67bc499c271537bdd42f44e6/1dfba8b0-a80c-11f0-a379-9674c16bbd1c_product_1686810018_170.jpeg
Комбо 3 (50шт) +1шт coca-cola 1.5l,Сеты,60000,Sushi-XL,Без модификаций,https://imageproxy.wolt.com/menu/menu-images/67bc499c271537bdd42f44e6/1dc601c4-a80c-11f0-a379-9674c16bbd1c_product_1688542940_175.jpeg
Куриный микс,Сеты,50000,Sushi-XL,Без модификаций,https://домшашлыков.рф/images/010/434/294/10434294/original/desktop.jpg
Микс сет,Сеты,40000,Sushi-XL,Без модификаций,https://imageproxy.wolt.com/menu/menu-images/67bc499c271537bdd42f44e6/8a6fe2f8-c617-11f0-8cb8-6684814e292b_product_1761465850_461.jpeg
Просто и сытно,Сеты,50000,Sushi-XL,Без модификаций,https://ohra74.ru/__/images/menuProduct/68c1d609674b6_w900_jpg.webp
Сет Mazza (17 шт) + кола 0.5,Сеты,60000,Sushi-XL,Без модификаций,https://imageproxy.wolt.com/assets/682dc0a6d430555470cda56f
Сет Акита 28шт,Сеты,55000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcJ5U3QOi6c4gU-7Q-uLSuVj6IwlfejBDcJA&s
Сет Аморе Мио 44шт,Сеты,67000,Sushi-XL,Без модификаций,https://cdn.starterapp.ru/w:1024/aHR0cHM6Ly9jZG4uc2FuaXR5LmlvL2ltYWdlcy92ZmI0N3pvdS9wcm9kdWN0aW9uLzU1OTM1YzliOGMwOTgxM2JlNzBmMTRhMzI5NDEzZmU1ZDhlMTlmMmUtNTEyeDUxMS5wbmc=
Сет Ассорти 48шт,Сеты,65000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTsChrtp_BPPc_WY-Di5_k9hA-_2SJ8SGR5cQ&s
Сет Васаби 88шт,Сеты,88000,Sushi-XL,Без модификаций,https://sytnoff.ru/__/images/menuProduct/6712167f4b605_w900_jpg.webp
Сет Гриль 38шт,Сеты,70000,Sushi-XL,Без модификаций,https://jasushi.ru/wp-content/uploads/2022/03/Gril.jpg
Сет Каваи 42шт,Сеты,75000,Sushi-XL,Без модификаций,https://imageproxy.wolt.com/menu/menu-images/67bc499c271537bdd42f44e6/1dc354a6-a80c-11f0-a379-9674c16bbd1c_product_1687319225_171.jpeg
Сет Киото 28шт,Сеты,67000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNKq6C09WS-HlpPHbuhagkIYrbbqQqHalRIg&s
Сет Корпоративный,Сеты,150000,Sushi-XL,Без модификаций,https://16a9564f-f8ec-42ba-a998-3027aa809e50.selstorage.ru/shah-yaponaroll-co/53911/1df67f74-bbc8-4604-b19f-658eea4c7a97/images/items/b7207219675eeb82faf68024e8308d00.JPEG
Сет Макси,Сеты,125000,Sushi-XL,Без модификаций,https://sushi-azii.ru/wp-content/uploads/2023/04/1-11.jpg
Васаби 40гр,Соусы,20000,Sushi-XL,Без модификаций,https://s3.smartofood.ru/fudiludi/menu/5c05d94f-3dc6-513d-89c2-13adc5f65f1b.webp
Гамадари 40гр,Соусы,27000,Sushi-XL,Без модификаций,https://kcdn.tanukifamily.uz/images/1/wBe55O5Zcf9PY4RjAsZ9dsmH1EXHb-yg.jpg?width=900&height=900
имбирь 40гр,Соусы,30000,Sushi-XL,Без модификаций,https://sushi.torg.town/image/cache/catalog/unixml/346/6774/imbir_marinovanyy_40gr-600x600.jpg
Кетчуп 40гр,Соусы,15000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpGN-EY9LlPfx3omuQxSIHQq5enIGgopWTDA&s
Рис гарнир,Соусы,30000,Sushi-XL,Без модификаций,https://cdn.food.ru/unsigned/fit/640/480/ce/0/czM6Ly9tZWRpYS9waWN0dXJlcy9yZWNpcGVzLzU1ODIwL2NvdmVycy9TUGROclUuanBlZw.jpg
Соус кикоман 50мл,Соусы,32000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQODJ0l2BK8P6NzmYdnU9i1OYjkOxA6gzrlqQ&s
соус Кисло-сладкий,Соусы,23000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgHfDrwbN43wcXOri1Zmphdvr969r1aO8ijA&s
Соус чесночный,Соусы,12000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCmYGeKYtJu55k42oxdm8Uh0R8bJvBpIG8_Q&s
Спайси соус 40гр,Соусы,24000,Sushi-XL,Без модификаций,https://sushiman64.ru/assets/images/products/283/spajsi-sous.jpg
Унаги 40 гр,Соусы,28000,Sushi-XL,Без модификаций,https://s3.smartofood.ru/magicroll_ru/menu/0e1c9667-1325-5ad9-b145-785659a1f8b0.jpg
Шрирача острый соус,Соусы,29000,Sushi-XL,Без модификаций,https://korfood.ru/upload/disk/c75/aa2e9hp2ay00f17bzko7j3tx802sg1b5
Запеченные с крабом 10шт,Запеченные,55000,Sushi-XL,Без модификаций,https://imageproxy.wolt.com/menu/menu-images/67bc499c271537bdd42f44e6/1e1109d0-a80c-11f0-a379-9674c16bbd1c_product_1685455655_58.jpeg
Запеченные c креветкой 5шт,Запеченные,77000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGyi6QS4csYruRJ9DEiBBgTwKIDGadOQ6r4A&s
Запеченные с креветкой 10шт,Запеченные,80000,Sushi-XL,Без модификаций,https://armiyasushi.ru/wp-content/uploads/2023/11/Zapechenyj-chiken-roll.jpg
Запеченный гриль лосось 10шт,Запеченные,90000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbj5TtIZZv4Pmt4sGRIA5Q6c9c6PGQF_kWiw&s
Запеченный гриль лосось 5 шт,Запеченные,47000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSbj5TtIZZv4Pmt4sGRIA5Q6c9c6PGQF_kWiw&s
Запеченный гункан копченный лосось острый,Запеченные,49000,Sushi-XL,Без модификаций,https://hajime.kz/wp-content/uploads/2026/01/2653021b-afa7-4e17-81e6-93a11f5c0584.jpg
Запеченный гункан краб острый,Запеченные,85000,Sushi-XL,Без модификаций,https://menu2go.ru/images/food/663/663_20231103143043_3368.jpg
Запеченный гункан креветка острый,Запеченные,75000,Sushi-XL,Без модификаций,https://just-eat.by/image/data/shops/90369/153099.jpg
Запеченный гункан лосось острый,Запеченные,95000,Sushi-XL,Без модификаций,https://sushi-karate.ru/preview/666/444/storage/dishes/788_gunkan_ostryy_losos.jpg
Запеченный гункан угорь острый,Запеченные,68000,Sushi-XL,Без модификаций,https://sushitime.club/image/sushitime/cache/catalog/bluda/gunkany/gun-ugor-1000x700.png?v=1744640675
Запеченный Нигай гриль лосось острый,Запеченные,100000,Sushi-XL,Без модификаций,https://media.ovkuse.ru/images/step_attachments/c67330e3-e162-4285-be5e-18fc7b44c388/c67330e3-e162-4285-be5e-18fc7b44c388.webp
Запеченный Нигай копч лосось острый,Запеченные,90000,Sushi-XL,Без модификаций,https://e0.edimdoma.ru/data/ingredients/0000/1380/1380-ed4_wide.jpg?1504522195
Запеченный Нигай краб острый,Запеченные,99000,Sushi-XL,Без модификаций,https://static.insales-cdn.com/images/products/1/1073/197346353/large_345%D1%80%D0%BE%D0%BB%D0%BB_%D0%97%D0%B0%D0%BF%D0%B5%D1%87%D0%B5%D0%BD%D0%BD%D1%8B%D0%B8%CC%86_%D0%A2%D1%83%D0%BD%D0%B5%D1%86.jpg
Запеченный Нигай креветка острый,Запеченные,87000,Sushi-XL,Без модификаций,https://japanesesushi.ru/wp-content/uploads/2021/06/1-1.jpg
Авакадо маки 6шт,Мини роллы,65000,Sushi-XL,Без модификаций,https://ristesto.ru/upload/iblock/ae1/ae1795aaadcf9aa57597bcddc9178904.JPG
Каппа маки 6шт,Мини роллы,67000,Sushi-XL,Без модификаций,https://satorieng.ru/upload/9f927f5c-f573-cdaf-02ab-61a496f7a4ff_image_c
Сяке маки,Мини роллы,55000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRBNka7C30-ndwaQ4RHNHmD0o9--eJsg7zHUw&s
Тамаго маки,Мини роллы,50000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTmyLLVB7nBlIdqu5iU36n71pJDkmirP-N6KQ&s
Унаги маки,Мини роллы,45000,Sushi-XL,Без модификаций,https://karaganda.instashop.kz/upload/resize_cache/iblock/8fa/476_342_1/8fa0c6a388eb16e097a196b38971db0b.png
Чука маки,Мини роллы,47000,Sushi-XL,Без модификаций,https://rollserv.ru/sys/cache/imagerender/1920x1080_0/410eff753993ff80d186e8ad98d50fc3.jpeg
Эби маки,Мини роллы,57000,Sushi-XL,Без модификаций,https://rollserv.ru/sys/cache/imagerender/1920x1080_0/39012ad3510e6ad3d67abc1da08068a5.jpeg
Сэндвич с курицей,Холодные блюда,33000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTwp1sRMA_a-bWXgiRggSsH0rAmVvxLQWUt_g&s
Сэндвич с курицей и сыром,Холодные блюда,37000,Sushi-XL,Без модификаций,https://gotovim-doma.ru/images/recipe/c/c2/cc2a939f4861717f44253e88f6ffeddc.jpg
Персона Грата,Жаренные роллы,45000,Sushi-XL,Без модификаций,https://groznyy.tiktak-delivery.ru/img/dish/pQyaWutvdk1neoGv.jpg?mark=%2Fhome%2Ftiktak%2Fhtdocs%2Fpublic%2Fassets%2Findex%2Fimages%2Fwater-mark-2.png&s=590f5753a2690275192d869d00718482
Лосось острый,Жаренные роллы,57000,Sushi-XL,Без модификаций,https://lh3.googleusercontent.com/proxy/8_mC_NpCCjJ0EQpbZGdxcHzFgQ8hVysP2SG4Ey0jOBr-t-TW11MZ7jVhgLDtoOeuZRUp5YZvc_VDvotU6k_yiY9gtoH6mhlX3563IRahqVQC02HBGln0xRSbQXce
Чикен острый,Жаренные роллы,37000,Sushi-XL,Без модификаций,https://img.postershop.me/9317/a0d0a0b8-22e8-42fb-8550-af653fc48e8c_image.jpg
Темпура Гриль 8шт острый,Жаренные роллы,50000,Sushi-XL,Без модификаций,https://food-garden.ru/__/images/menuProduct/6761135c06bd4_w900_jpg.webp
Темпура Ига,Жаренные роллы,49900,Sushi-XL,Без модификаций,https://s3.smartofood.ru/dva_shefa/menu/4a70d15c-fa14-5124-a433-8cb561707099.webp
Темпура Кани 4шт острый,Жаренные роллы,90000,Sushi-XL,Без модификаций,https://sushifast.ru/wp-content/uploads/2016/07/kani-tempura.jpg
Темпура Кани 8шт острый,Жаренные роллы,150000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrTOF584cN8BVHp_0HyUW1UMTsNz_-LRuryQ&s
Темпура Кога,Жаренные роллы,46000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQAno3icImvlHjX37uuhyJZWeL8yHE8MpxDlg&s
Темпура Микс 4шт,Жаренные роллы,44000,Sushi-XL,Без модификаций,https://static.tildacdn.com/stor3430-3934-4765-b835-386636356436/59137544.png
Темпура Микс 8шт,Жаренные роллы,85000,Sushi-XL,Без модификаций,https://static.tildacdn.com/stor3430-3934-4765-b835-386636356436/59137544.png
Темпура Сяке,Жаренные роллы,56000,Sushi-XL,Без модификаций,https://menu2go.ru/images/food/663/663_20231103150045_1538.jpg
Темпура Унаги,Жаренные роллы,65000,Sushi-XL,Без модификаций,https://sushi-karate.ru/preview/666/444/storage/dishes/65_unagi_tempura.jpg
Темпура Чикин 4шт,Жаренные роллы,70000,Sushi-XL,Без модификаций,https://cdn.dostaevsky.ru/storage/dostaevsky/sushi-i-rolly/tempurnyjj-roll-s-kuricejj-12-large-rectangular-06bc34bb7d95480e9634666aeac70a5e.jpeg
Кимпаб c копченным лососем,Кимпаб,110000,Sushi-XL,Без модификаций,https://cdn-ru16.foodpicasso.com/assets/2025/10/19/6ba5791217656da3a19a9c1a89424031---jpeg_528x260:whitepadding20_4715c_convert.jpeg
Кимпаб с мясом,Кимпаб,90000,Sushi-XL,Без модификаций,https://imgproxy.kuper.ru/imgproxy/size-500-500/czM6Ly9jb250ZW50LWltYWdlcy1wcm9kL3Byb2R1Y3RzLzQ3MjM4NDY3L29yaWdpbmFsLzEvMjAyNS0wNi0zMCUyMDE0JTNBNTMlM0E0NC4wMjk2NTYlMkIwMCUzQTAwLzQ3MjM4NDY3XzEuanBn.jpg
Кимпаб со снежным крабом,Кимпаб,105000,Sushi-XL,Без модификаций,https://sushi-karate.ru/preview/540/360/storage/dishes/931_kimpab_s_krevetkoy.jpg
Дольки картошки с курицей и овощами,Горячка,35000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTPvCXdp_zO4ifP644UYE-_dpbgD-PRD4u0nQ&s
Картошка по деревенски,Горячка,40000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8XHmQTjPz9GIy9cQmjxJ-n343FwG3YNU74g&s
Нагетсы с пармезаном 5шт,Горячка,50000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTKoDDxZDfaaIGsMoCqm8QJ4aSx5MHWBKK4Tg&s
Нагетсы с пармезаном 8 шт,Горячка,75000,Sushi-XL,Без модификаций,https://yastatic.net/avatars/get-grocery-goods/2805921/8e2d099a-4b30-4509-9006-09957bebff82/300x300?webp=true
Темпура Креветка,Горячка,60000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSaYhk6aGihFF8PZNVJQflf9jOAipe6pOblAg&s
Тяхан с говядиной,Горячка,55000,Sushi-XL,Без модификаций,https://kcdn.tanukifamily.uz/images/1/YNiQ1puR-_XDvnP2-AMgTxiNTN7lAQUk.jpg?width=900&height=900
Тяхан с курицей,Горячка,40000,Sushi-XL,Без модификаций,https://img2.zakaz.ua/upload.version_1.0.846714a18c9e0de3f50e869932531100.350x350.jpeg
Тяхан с морепродуктами,Горячка,95000,Sushi-XL,Без модификаций,https://доставкаеды.онлайн/25/image/cache/catalog/124/027%20%D1%82%D1%8F%D1%85%D0%B0%D0%BD%20%D0%BA%D1%80%D0%B5%D0%B2%D0%B5%D1%82%D0%BA%D0%B0-500x500.jpg
Тяхан с овощами,Горячка,60000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqK-2wH-B4xT9aT307Yq1GSl66yafshNbOHA&s
Удон с говядиной,Горячка,56000,Sushi-XL,Без модификаций,https://wasabi.kg/wp-content/uploads/2021/07/udon-govjadina.jpg
Удон с курицей,Горячка,45000,Sushi-XL,Без модификаций,https://www.cafemumu.ru/upload/resize_cache/iblock/6b2/bvd7m6haxrjao0yt070k7fkclw3z302k/329_240_2/20e1b82c-3cbf-4a0b-983a-3968a15a010c.jpg
Удон с морепродуктами,Горячка,60000,Sushi-XL,Без модификаций,https://www.sostra.ru/upload/iblock/679/6794a0cf935a4b840dc41ed1dc465cfd.jpg
Фри,Горячка,20000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQbpOmGQ_uQITcmU28plChC1UEX3wxfdavmw&s
Фри с яки соусом,Горячка,25000,Sushi-XL,Без модификаций,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSx8EVT9qxNJNajxPkOFZb2ehaX6g7ywOVMQA&s
Fried крылышки,Новинки,45000,Sushi-XL,Без модификаций,https://www.shutterstock.com/image-photo/delicious-crispy-fried-chicken-wings-260nw-2673737635.jpg
Корн дог с сосиской и сыром,Новинки,49000,Sushi-XL,Без модификаций,https://cdn.starterapp.ru/w:1024/aHR0cHM6Ly9jZG4uc2FuaXR5LmlvL2ltYWdlcy9wdW9ldGN4NC9wcm9kdWN0aW9uLzcxNzVhYTUyN2ZhMDNmMWQ4NDBmN2Q4NmUwZTlkZmFkOGQ0MmMwNWYtNTQ3MngzNjQ4LmpwZw==
Сырные палочки 3шт,Новинки,25000,Sushi-XL,Без модификаций,https://eshka-rolly.ru/img/p/8/0/3/803-large_restaurant_default.jpg
Корн Дог классик,Новинки,25000,Sushi-XL,Без модификаций,https://andychef.ru/wp-content/uploads/2019/09/corn.jpg
Рамен жареный по гавайски,Новинки,35000,Sushi-XL,Без модификаций,https://grandkulinar.ru/uploads/posts/2019-11/1574698203_ramehn-s-zharenoj-svininoj.jpg
Сырные палочки 6шт,Новинки,40000,Sushi-XL,Без модификаций,https://just-eat.by/image/data/shops/96726/220891.jpg
Гренки чесночные,Хлеб,20000,Sushi-XL,Без модификаций,https://www.patee.ru/r/x6/12/53/30/960m.jpg
Хлеб с Чесночным соусом,Хлеб,23000,Sushi-XL,Без модификаций,https://img.iamcook.ru/2017/upl/recipes/cat/u-8a2df8ed9406edd93ac14b59b77887a3.JPG
Хлеб с Яки соусом,Хлеб,15000,Sushi-XL,Без модификаций,https://v1.popcornnews.ru/k2/news/577x320/upload/news/738556444237.png
Мисо классический,Супы,30000,Sushi-XL,Без модификаций,https://avatars.dzeninfra.ru/get-zen_doc/2458644/pub_5f1f4424cc02c03ffca0b20c_5f1f44cf9f8440584566da24/scale_1200
Рамен с говядиной,Супы,35000,Sushi-XL,Без модификаций,https://www.chefmarket.ru/blog/wp-content/uploads/2021/10/japanese-ramen-soup-1-2000x1200.jpg
Рамен с сосиской,Супы,27000,Sushi-XL,Без модификаций,https://thumbs.dreamstime.com/b/%D1%80%D0%B0%D0%BC%D0%B5%D0%BD-%D0%BB%D0%B0%D0%BF%D1%88%D1%83-%D1%81-%D1%81%D0%BE%D1%81%D0%B8%D1%81%D0%BA%D0%B0%D0%BC%D0%B8-%D1%81%D1%8B%D1%80-%D1%8F%D0%B8%D1%87%D0%BD%D0%B8%D1%86%D0%B5%D0%B9-%D0%B8-%D1%81%D0%BA%D0%B0%D0%BB%D1%8C%D0%BE%D0%BD-%D0%BC%D0%B8%D0%BA%D1%80%D0%BE%D0%B2%D0%BE%D0%BB%D0%BD%D0%BE%D0%B2%D0%BA%D0%B8-%D0%B3%D1%80%D0%B8%D0%B1%D0%BA%D0%BE%D0%BC-280197879.jpg
